
2024/03/14 (11:58:45) | ===> btop++ v.1.3.2
2024/03/14 (11:58:46) | ERROR: Stall in Runner thread, restarting!
2024/03/14 (11:59:38) | ERROR: Stall in Runner thread, restarting!

2024/05/21 (23:32:13) | ===> btop++ v.1.3.2
2024/05/21 (23:32:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/23 (19:36:52) | ===> btop++ v.1.3.2
2024/05/23 (19:36:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/22 (21:47:39) | ===> btop++ v.1.3.2
2024/06/22 (21:47:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/23 (07:44:58) | ===> btop++ v.1.3.2
2024/06/23 (07:44:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/24 (12:50:33) | ===> btop++ v.1.3.2
2024/06/24 (12:50:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/27 (15:25:13) | ===> btop++ v.1.3.2
2024/06/27 (15:25:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/27 (19:13:45) | ===> btop++ v.1.3.2
2024/06/27 (19:13:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (13:09:53) | ===> btop++ v.1.3.2
2024/06/28 (13:09:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (13:17:30) | ===> btop++ v.1.3.2
2024/06/28 (13:17:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (13:24:52) | ===> btop++ v.1.3.2
2024/06/28 (13:24:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (13:40:10) | ===> btop++ v.1.3.2
2024/06/28 (13:40:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
